Plant Scientific Name stringFilter,Plant Common Name stringFilter,Image imageType,Contaminants Csvfilteror,Accumlation Quantity (if known) csvFilterOr,Accumlation Type (if known) csvFilterOr,Source for Phyto ,Notes ,Search All stringFilter - Hidden
Agapanthus africanus,Lily-Of-The-Nile,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003","Perennial, Bulb, Fern. USDA plant hardiness zones 9 to 11.",
Agrostis capillaris,"Common Bent, Colonial Bent, Browntop",,Copper,Tolerant,,"1) (Phyto Textbook) Bes, C. M., Jaunatne R., and Mench M. 2013. Seed bank of Cu-contaminated topsoils at a wood preservation site: impacts of copper and compost on seed germination. Environmental Monitoring and Assessment 185 (2), pp. 2039-2053.",,
Agrostis capillaris L.,Bentgrass,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/6a35cb23-cc06-4d93-abf6-2081055a91b5/Bentgrass.jpg?content-type=image%2Fjpeg,"Aluminum, Arsenic, Lead, Manganese, Zinc","Accumulator, Hyperaccumulator",N/A,"1) Phytoremediation of Radio-nuclides. Dushenkov et al. 1998, Negri and Hinchman 2000, Huang et al. 1998, et al. 1997, Negri and Hinchman 2000, Dushenkov et al. 1998. http://rydberg.biology.colostate.edu/Phytoremediation/2000/Lawra/BZ580.htm-zinc
 2) The University of Texas. http://wildflower.org/explore/
 3) http://www.flickr.com/photos/plant_diversity/3820997510/(Photo Source)",Grass or Forb species able to accumulate radionuclides. Hardiness zone 4-8.,
Agrostis castellana,Highland Bent Grass,,"Aluminum, Arsenic, Lead, Manganese, Zinc",Accumulator,N/A,"1) McCutcheon & Schnoor 2003, Phytoremediation. New Jersey, John Wiley & Sons, page 898.",Origin Portugal.,
Agrostis delicatula,"Bentgrass, Creeping Bentgrass",,"Arsenic, Lead, Copper, Manganese, Zinc",Accumulator,Phytostabilization,"1) (Phyto Textbook) Gomes, P., Valente, T., Pamplona, J., Sequeira Braga, M. A., Pissarra, J., Grande Gil, J.A., and De La Torre, M.L. 2013. Metal uptake by native plants and revegetation potential of mining sulfide-rich waste-dumps. International Journal of Phytoremediation 16, pp. 1087-1103.",,
Agrostis exarata,Spike Bentgrass,,"Arsenic, Lead, Cesium","Accumulator, Hyperaccumulator",N/A,1) The University of Texas. http://wildflower.org/explore/,"Perennial clump grass, 3.5 ft tall, with long, delicate branches again toward the top. Hardiness Zones 7-10",
Agrostis scrabra,Rough Bentgrass,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/42a7f4b2-e5db-4f23-903d-592058467de9/RoughBentgrass.jpg?content-type=image%2Fjpeg,"Lead, Cesium","Hyperaccumulator, Accumulator",N/A,"1) The University of Texas. http://wildflower.org/explore/
 2) http://www.flickr.com/photos/plant_diversity/3851734246/(Photo Source)",Replace annually,
Agrostis tenuis,Colonial Bentgrass,,"Aluminum, Arsenic, Manganese","Accumulator, Hyperaccumulator",Phytostabilization,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc.
 2) (Phyto Textbook) Gomes, P., Valente, T., Pamplona, J., Sequeira Braga, M. A., Pissarra, J., Grande Gil, J.A., and De La Torre, M.L. 2013. Metal uptake by native plants and revegetation potential of mining sulfide-rich waste-dumps. International Journal of Phytoremediation 16, pp. 1087-1103.",H-1000 Milligrams per kilogram of dry weight. Four records of plants. Hardiness zone 3-10.,
Aizoon hispanicum L.,Spanish Aizoon,,"Lead, Zinc, Copper,Cadmium",Accumulator,"Phytoextraction, Phytostabilization","Midhat L, Ouazzani N, Esshaimi M, Ouhammou A, Mandi L. Assessment of heavy metals accumulation by spontaneous vegetation: Screening for new accumulator plant species grown in Kettara mine-Marrakech, Southern Morocco. Int J Phytoremediation. 2017;19(2):191-198. doi:10.1080/15226514.2016.1207604",,
Allium schoenoprasum,Chives,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/b72d559a-ad7b-40d5-968f-8ed1746de5a1/Chives.jpg?content-type=image%2Fjpeg,Cadmium,"Hyperaccumulator, Accumulator",N/A,"1) Khadka, U., Vonshak, A., Dudai, N., Golan-Goldhirsh, A. (2003), Response of Alliium schoenoprasum to Cadmium in hydroponic growth medium. In COST Action 837 Ã¢â‚¬Å“Workshop on Phytoremediation of toxic metals.Ã¢â‚¬Â Stockholm, Sweden, June 12-15, 2003. Retrieved March 10, 2004 from http://lbewww.epfl.ch/COST837/abstracts_stockholm/posters.pdf
 2) http://www.flickr.com/photos/virgomerry/11225608/ (Photo Source)",Perennial onion relative. An agricultural study that was done showed that cadmium was accumulated in roots and leaves. Hardiness zone 3-9.,
Aloe barbadensis,Aloe,,"Lead, Total Petroleum Hydrocarbons",Accumulator,Phytoextraction,"Escobar-Alvarado LF, Vaca-Mier M, LÃ³pez-Callejas R, Rojas-Valencia MN. Efficiency of Opuntia ficus in the phytoremediation of a soil contaminated with used motor oil and lead, compared to that of Lolium perenne and Aloe barbadensis. Int J Phytoremediation. 2018;20(2):184-189. doi:10.1080/15226514.2017.1365332",,
Althea rosea cavan,Hollyhock,,Nickel,"Accumulator, Hyperaccumulator",Phytoextraction,"1) Cay S, Uyanik A, Engin MS, Kutbay HG. Effect of EDTA and Tannic Acid on the Removal of Cd, Ni, Pb and Cu from Artificially Contaminated Soil by Althaea rosea Cavan. Int J Phytoremediation. 2015;17(1-6):568-574. doi:10.1080/15226514.2014.935285
 2) Khan WU, Yasin NA, Ahmad SR, Ali A, Ahmed S, Ahmad A. Role of Ni-tolerant Bacillus spp. and Althea rosea L. in the phytoremediation of Ni-contaminated soils. Int J Phytoremediation. 2017;19(5):470-477. doi:10.1080/15226514.2016.1244167",,
Alyssum murale,Yellowtuft,,Nickel,Hyperaccumulator,Phytoextraction,"Bani A, Echevarria G, SulÃ§e S, Morel JL. Improving the Agronomy of Alyssum murale for Extensive Phytomining: A Five-Year Field Study. Int J Phytoremediation. 2015;17(1-6):117-127. doi:10.1080/15226514.2013.862204",,
Alyssum wulfenianum,Alpine Alyssum,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/d565cc69-49a6-4839-ac4c-3919f3a74218/AlpineAlyssum.jpg?content-type=image%2Fjpeg,Nickel,Accumulator,N/A,"1) Reeves, R.D. and R.R. Brooks, 1983. Hyperaccumulation of lead and zinc by two metallophytes from a mining area of central Europe. Environ. Pollut. A Ecol. Biol., 31: 277-287. http://scialert.net/fulltext/?doi=jest.2011.118.138&org=11#571365_ja
 2) http://www.flickr.com/photos/atrnkoczy/3192189556/ (Photo Source)",Hardiness zone 6,
Amaranthus hypochondriacus L.,Amaranth,,Cadmium,Accumulator,Phytoextraction,"(Phyto Textbook) Ci, N., Li, Z., Fu., Q., Zhuang, P., Guo, B., and Li, H. 2013. Agricultural technologies for enhancing the phytoremediation of cadmium-contaminated soil by Amaranthus hypochondriacus L. Water, Air, and Soil Pollution 224 (9), pp. 1-8.",,
Amaranthus retroflexus,Redroot Amaranth,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/f521b4d9-90e6-4da2-a285-5ddc99b50297/RedrootAmaranth.jpg?content-type=image%2Fjpeg,"Cadmium, Cesium, Nickel, Zinc",N/A,N/A,"1) McCutcheon & Schnoor 2003, Phytoremediation. New Jersey, John Wiley & Sons pg 19
 2) http://www.flickr.com/photos/plant_diversity/3703457603/(Photo Source)",Hardiness Zones 3 to 10.,
Ambrosia artemisiifolia L.,Common Ragweed,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/05f70f85-da66-44de-afca-29917b89a79a/Commonragweed.jpg?content-type=image%2Fjpeg,Lead,Hyperaccumulator,N/A,"1) McCutcheon, S.C.; Schnoor, J.L., Phytoremediation: Transformation and Control of Contaminants, A Wiley-Interscience Series of Texts and Monographs, Hoboken, NJ: John Wiley, pp. 59
 2) http://www.flickr.com/photos/28340342@N08/2976017730/(Photo Source)",Used for erosion control,
Amorpha fruticosa,Indigo Bush,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/ea4ad289-3686-44c9-b5ed-d7123df6f256/IndigoBush.jpg?content-type=image%2Fjpeg,Lead,Accumulator of Lead,N/A,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2)http://www.flickr.com/photos/50532466@N06/4963900990/(Photo Source)",Accumulator of Lead. USDA Hardiness Zone 4 to 9,
Amorpha fruticosa Linn.,Desert False Indigo,,"Zinc, Lead, Copper",Accumulator,,"Shi X, Chen YT, Wang SF, et al. Phytoremediation potential of transplanted bare-root seedlings of trees for lead/zinc and copper mine tailings. Int J Phytoremediation. 2016;18(11):1155-1163. doi:10.1080/15226514.2016.1189399",,
Andropogon geradii,Big Bluestem,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/f1900afb-6358-4e19-8a1a-7c1152abf20b/BigBluestem.jpg?content-type=image%2Fjpeg,"Anthracene, Arsenic, Atrazine, Copper, Polychlorinated Biphenyl (Pcb)","Accumulator, Hyperaccumulator","Phytodegradation, Rhizofiltration","1) The University of Texas. http://wildflower.org/explore/
 2) http://www.flickr.com/photos/kingsbraegarden/4860079343/(Photo Source)",Sun to partial shade required. Hardiness zone 3-10,
Andropogon gerardi,Big Blue Stem,,Atrazine,,Phytodegradation,"Khrunyk Y, Schiewer S, Carstens KL, Hu D, Coats JR. Uptake of C14-atrazine by prairie grasses in a phytoremediation setting. Int J Phytoremediation. 2017;19(2):104-112. doi:10.1080/15226514.2016.1193465",,
Arabidopsis halleri,,,"Cadmium, Lead, Zinc",Hyperaccumulator,Phytoextraction,"TlustoÅ¡ P, B?endovÃ¡ K, SzÃ¡kovÃ¡ J, NajmanovÃ¡ J, KoubovÃ¡ K. The long-term variation of Cd and Zn hyperaccumulation by Noccaea spp and Arabidopsis halleri plants in both pot and field conditions. Int J Phytoremediation. 2016;18(2):110-115. doi:10.1080/15226514.2014.981243",,
Arbutus unedo 'compacta',Compact Strawberry Bush,,Petroleum,Tolerant,N/A,"1)Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. Hardiness zone 7-9. Height 5-10 feet.,
Arrhenatherum elatius,Tall Oat Grass,,"Nickel, Copper, Cadmium, Cobalt, Manganese, Lead, Chromium Zinc",Accumulator,Phytostabilization,"(Phyto Textbook) Lu, Y., Li, X., He, M., and Zeng, F. 2013. Behavior of native species Arrhenatherum elatius (Poaceae) and Sonchus transcaspicus (Asteraceae) exposed to a heavy metal polluted field: plant metal concentration phytotoxicity and detoxification responses. International Journal of Phytoremediation 15, pp. 924-937.",,
Artemisia frigida,Frindged Sage,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/b68b87d4-7bae-458c-a84e-073e054351f6/FrindgedSage.jpg?content-type=image%2Fjpeg,"Copper, Hydrocarbons",N/A,Rhizofiltration,"1) Robison, Diana. Ã¢â‚¬Å“PHYTOREMEDIATION OF HYDROCARBON-CONTAMINATED SOIL.Ã¢â‚¬Â University of Saskatchewan, 2003. Web. 18 Feb2011. <http://library2.usask.ca/theses/available/etd-12172008-092911/unre-stricted/Robson_Diana_Bizecki_2003.pdf>.
 2) http://www.flickr.com/photos/plant_diversity/5034485838/ (Photo Source)",Hardiness zone: 3 - 10,
Arundo donax,Giant Reed,,Nickel,Accumulator,"Phytostabilization, Phytoextraction","Galal TM, Shehata HS. Growth and nutrients accumulation potentials of giant reed (Arundo donax L.) in different habitats in Egypt. Int J Phytoremediation. 2016;18(12):1221-1230. doi:10.1080/15226514.2016.1193470 - Atma W, Larouci M, Meddah B, Benabdeli K, Sonnet P. Evaluation of the phytoremediation potential of Arundo donax L. for nickel-contaminated soil. Int J Phytoremediation. 2017;19(4):377-386. doi:10.1080/15226514.2016.1225291",,
Aspilia africana,Haemorrhage Plant,,Petroleum Hydrocarbons,Accumulator/Tolerant,Phytodegradation,"Anyasi RO, Atagana HI. Profiling of plants at petroleum contaminated site for phytoremediation. Int J Phytoremediation. 2018;20(4):352-361. doi:10.1080/15226514.2017.1393386",,
Athyrium yokoscense,Fern,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/754b8499-c13c-40a0-881f-e998c000bcb8/Fern.jpg?content-type=image%2Fjpeg,"Cadmium, Copper, Lead","Accumulator, Hyperaccumulator",N/A,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pd. fpg 898
 2) http://www.flickr.com/photos/jinnrouge/5758898762/(Photo Source)",Comes from Japan. Hardiness zone 7,
Atriplex halimus,Mediterranean Saltbush,,"Cadmium, Lead",Tolerant,Phytoaccumulation,"El-Bakatoushi R, Alframawy AM, Tammam A, Youssef D, El-Sadek L. Molecular and Physiological Mechanisms of Heavy Metal Tolerance in Atriplex halimus. Int J Phytoremediation. 2015;17(9):789-800. doi:10.1080/15226514.2014.964844",,
Atriplex hortensis,Garden Orach,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/3af94c8e-ed60-4726-9a04-79b4219cb1fa/GardenOrach.jpg?content-type=image%2Fjpeg,Polychlorinated Biphenyl (Pcb),N/A,N/A,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) http://www.flickr.com/photos/33590535@N06/3484941042/(Photo Source)","Of the spinach family, Orache is an extremely variable species: Shows promise transforming PAH and Graden Orach metabolizes PCBÃ¢â‚¬â„¢s. Hardiness Zone: USDA Zones 6-10",
Atriplex lentiformis,Big Saltbush,,Salinity,Hyperaccumulator,Phytoextraction,"Devi S, Nandwal AS, Angrish R, Arya SS, Kumar N, Sharma SK. Phytoremediation potential of some halophytic species for soil salinity. Int J Phytoremediation. 2016;18(7):693-696. doi:10.1080/15226514.2015.1131229",,
Atriplex rosea,Saltbush,,"Copper, Lead, Nickel, Zinc",Accumulator,Phytoaccumulation,"(Phyto Textbook) Kachout SS, Mansoura AB, Mechergui R, Leclerc JC, Rejeb MN, Ouerghi Z. Accumulation of Cu, Pb, Ni and Zn in the halophyte plant Atriplex grown on polluted soil. J Sci Food Agric. 2012;92(2):336?342. doi:10.1002/jsfa.4583",,
Atriplex semibaccata,Australian Saltbush,,"Copper, Cadmium",Hyperaccumulator,,"Baycu G, Tolunay D, Ozden H, et al. An Abandoned Copper Mining Site in Cyprus and Assessment of Metal Concentrations in Plants and Soil. Int J Phytoremediation. 2015;17(7):622-631. doi:10.1080/15226514.2014.922929",,
Avena nuda,Grass/Oat,,Strontium,Accumulator,,"Qi L, Qin X, Li FM, et al. Uptake and distribution of stable strontium in 26 cultivars of three crop species: oats, wheat, and barley for their potential use in phytoremediation. Int J Phytoremediation. 2015;17(1-6):264-271. doi:10.1080/15226514.2014.898016",,
Avena sativa,Oat,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/73bd17e1-3b69-4a86-8355-d4c0237de097/Oat.jpg?content-type=image%2Fjpeg,Strontium,Accumulator,Phytostabilization,"1) U.S Environmental Protection Agency (EPA). Phytoremediation field studies database for chlorinated solvents, pesticides, explosives, and metals. http://www.afcee.af.mil/shared/media/document/AFD-071130-018Journal of Experimental Botany 2006 57(12):2955-2965; doi:10.1093/jxb/erl056
 2) http://www.flickr.com/photos/khianti/4960843947/(Photo Source)
 3) Qi L, Qin X, Li FM, et al. Uptake and distribution of stable strontium in 26 cultivars of three crop species: oats, wheat, and barley for their potential use in phytoremediation. Int J Phytoremediation. 2015;17(1-6):264-271. doi:10.1080/15226514.2014.898016",Hardiness Zone: USDA Zones 5-10,
Avicennia marina,Grey Mangrove,,Cadmium,Tolerant,,"Jian L, Chongling Y, Daolin D, Haoliang L, Jingchun L. Accumulation and speciation of Cd in Avicennia marina tissues. Int J Phytoremediation. 2017;19(11):1000-1006. doi:10.1080/15226514.2017.1303817",,
Axonopus compressus,"Carpet Grass, Blanket Grass",,"Lead, Zinc, Copper, Cadmium, Petroleum Hydrocarbon",Accumulator,Phytoaccumulation,"(Phyto Textbook) Efe, S.I., and Okpali, A.E. 2012. Management of petroleum impacted soil with phytoremediation and soil amendments in Expan Delta State, Nigeria. Journal of Environmental Protection 3, pp. 386-393. - Chamba I, Gazquez MJ, Selvaraj T, Calva J, Toledo JJ, Armijos C. Selection of a suitable plant for phytoremediation in mining artisanal zones. Int J Phytoremediation. 2016;18(9):853-860. doi:10.1080/15226514.2016.1156638","Their usage is more effective when applied together with organic and inor- ganic manure. It is therefore recommended that apart from physical clean-up of oil spills sites, Axonopus sp. and Cyperus sp. should be used in phyto",
Azolla filiculoides,Water Fern,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/4a5ee975-66a1-4394-8141-ac9ac7ea80e2/WaterFern.jpg?content-type=image%2Fjpeg,Methyl Violet 2B,"Hyperaccumulator of Chromium, Accumulator, Tolerant","Biodegredation, Phytoextraction","1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plan_0species_0phyto.pd 
 http://www.flickr.com/photos/fjbn/364307000 Azollaceae - Azolla filiculoides Lam. by Fundacin Jardin Botinico Nacional de Viia del, on Flickr http://farm3.staticflickr.com/2471/3643070002_4eace4b90djpg ""Azollaceae - Azolla filiculoides Lam. 
 3) http://www.brighthub.com/engineering/civil/articles/118344.asxx 
 ) sesak Kulen O, Memon A, ksel B. Phytoremediation of petroleum hydrocarbons by using a freshwater fern species Azolla filiculoides Lam. Int J Phytoremediation. 2016;18(5):467-476. doi:10.1080/15226514.2015.1115958
 5) Kooh MRR, Lim LBL, Lim LH, Malik OA. Phytoextraction potential of water fern (Azolla pinnata) in the removal of a hazardous dye, methyl violet 2B:","Hyperaccumulator of Chromium. Also known as Water Velvet or Pacific Mosquito Fern. Comes from Africa, floating plant. Bioabsorbs metals. hardiness zones 9 to 11",
Bacopa monnieri,Smooth Water Hyssop,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/a7f82d07-924f-49af-89a8-734c1603a6b9/SmoothWaterHyssop.jpg?content-type=image%2Fjpeg,"Cadmium, Copper, Lead, Chromium, Mercury",Accumulator,N/A,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) http://www.flickr.com/photos/tony_rodd/5531264137/ (Photo Source)",Accumulator of metals. USDA Hardiness Zone: 9 to 10,
Beta vulgaris,Beet,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/fe66bf1f-922d-4e06-b3ee-3381b2123ab9/Beet.jpg?content-type=image%2Fjpeg,"Cesium, Strontium",Accumulator,N/A,"1) Phytoremediation of RadioÃ‚Â¬nuclides. Dushenkov et al. 1998, Negri and Hinchman 2000, Huang et al. 1998, et al. 1997, Negri and Hinchman 2000, Dushenkov et al. 1998. http://rydberg.biology.colostate.edu/Phytoremediation/2000/Lawra/BZ580.htm
 2) http://www.flickr.com/photos/katja-london/1119438550/ (Photo Source)",Grass or Forb species able to accumulate radionuclides. Hardiness zone 8,
Beta vulgaris var. cicla,Swiss Chard,,Cadmium,Accumulator,Phytoextraction,"Broadhurst CL, Chaney RL, Davis AP, et al. Growth and Cadmium Phytoextraction by Swiss Chard, Maize, Rice, Noccaea caerulescens, and Alyssum murale in Ph Adjusted Biosolids Amended Soils. Int J Phytoremediation. 2015;17(1-6):25-39. doi:10.1080/15226514.2013.828015",,
Betula nigra,River Birch,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/6606582d-c22d-4b4f-84c9-0ec54b24bb4f/RiverBirch.jpg?content-type=image%2Fjpeg,"Bentazon, Polychlorinated Biphenyl (Pcb), Trichloroethylene (Tce) Â And By-Products, Vinyl Chloride",N/A,N/A,"1) http://www.flickr.com/photos/13389908@N03/1820801175/(Photo Source)
 2) Solvents in Groundwater: Pilot Study at a Superfund SisÂ. In: G. Wickramanayake, A. Gavaskar, B. Alleman, and V. Magar (eds.) Bioremediation and Phytoremediation of Chlorinated and Recalcitrant Compounds, p461-466. Battelle Press, Columbus, Ohio.; Ferro, A., Kennedy, J., Kjelgren, R., Rieder, J., and S. Perrin. 1999.""Toxicity Assessment of Volatile Organic Compounds in Poplar Trees""Â. International Journal of Phytoremediation. 1(19-17",Hardiness Zones: Zones 4-9,
